date,action,drift_index,feature_score,prediction_score,performance_score,top_drift_feature,cooldown_blocked,retrained_today,ensemble_size
2017-08-23,moderate,3.0609084716924273,7.600470079319056,0.0006886646583208864,0.0683794685576945,Ret_Vol_20,1,0,1
2017-08-24,moderate,3.0806070284401383,7.580294517426244,0.0012138226568619952,0.1604169155752716,Ret_Vol_20,1,0,1
2017-08-25,moderate,3.1207785191599573,7.562523226644538,0.0014565929198981304,0.31777416875390774,Ret_Vol_20,1,0,1
2017-08-28,moderate,3.149684948789752,7.546904632054801,0.0024474370218304704,0.43396288287094076,Ret_Vol_20,0,1,1
2017-08-29,moderate,3.013416659401527,7.533245865635287,0.00039437715804031,0.0,Ret_Vol_20,1,0,1
2017-08-30,moderate,2.6546882523306583,6.56957999424789,0.0006802601529473503,0.08884058861872624,Ret_Vol_20,1,0,1
2017-08-31,moderate,2.613912892311051,6.473981770032488,0.0014824060076458973,0.07958487498587197,Ret_Vol_20,1,0,1
2017-09-01,moderate,2.6316472622007185,6.4129380495728565,0.002152584189872646,0.2194208903820467,Ret_Vol_20,1,0,1
2017-09-05,moderate,2.7069474873775228,6.367606775007479,0.0018767831656862017,0.5311391414160834,Ret_Vol_20,0,1,1
2017-09-08,moderate,2.610379862831626,6.320153411932276,0.0007567329683991257,0.273638260560653,Ret_Vol_20,1,0,1
2017-09-12,moderate,2.6045952886146173,6.303894265875607,0.0019342362813338475,0.27485770459991354,Ret_Vol_20,0,1,1
2017-09-19,moderate,2.611354707292589,6.267550580904558,0.0026390758952903135,0.34514250720726136,Ret_Vol_20,0,1,1
2017-09-29,moderate,2.596378166284053,6.29001239741128,0.002242047954700504,0.26566864311043714,Ret_Vol_20,0,1,1
2017-12-01,moderate,2.626345095131822,5.650405889424944,0.03060612532718484,1.1900030058789628,Ret_Vol_20,0,1,1
2017-12-15,moderate,2.84691953441499,6.773830754754853,0.0168567369917339,0.4411007047184291,Ret_Vol_20,0,1,1
2017-12-18,moderate,2.7099381668087643,6.773830754754853,0.0013528830227441699,0.0,Ret_Vol_20,1,0,1
2017-12-19,moderate,2.718162766269976,6.773830754754853,0.003693322717380394,0.025074891842735814,Ret_Vol_20,1,0,1
